Id,Tipo,Fecha Evento,Fecha Fin Evento,# días evento,Título evento,Resumen evento,Categorias (Subcategorias),Acceso (para desastres),Resoluciones,Fuente,Descripcion de la fuente,Referecia,Divipola,Departamento,Divipola,Municipio,Lugar,# Total Víctimas,# Víctimas civiles,Víctimas militares,# Víctimas menores 18 años,Víctimas mujeres,# Víctimas afro,Víctimas indígenas,Víctimas otros,Incidente o Accidente MAP/MUSE
85632,Violencia armada,2017-01-01 13:11:00,2017-01-01 13:11:00,0,"Ocho menores desvinculados del Eln en Montecristo, Bolívar",Reclutamiento forzado o desvinculación de menores de edad - Explosivo encontrado. 01 de Enero de 2017,"Reclutamiento forzado o desvinculación de menores de edad,Explosivo encontrado",,NAN,El Espectador,"En un operativo en contra de Frente Darío de Jesús Ramírez Castro de ELN fueron capturados 12 guerrilleros en la vereda La Ahuyama, en el municipio de Montecristo en el departamento del Bolívar. En la acción también fueron rescatados ocho menores de edad que habían sido reclutados por dicho grupo subversivo.A los menores de edad se les aplicó el respectivo protocolo para iniciar el restablecimiento de sus derechos. La acción fue adelantada por miembros de las Fuerzas Especiales del Ejército y del Escuadrón Móvil de Carabineros de la Policía con apoyo de la Fuerza Aérea.En su cuenta de Twitter, el comandante del Ejército, general Juan Pablo Rodríguez informó que el operativo continúa y en las próximas horas se emitirán nuevos detalles sobre las acciones desarrolladas en contra de esa estructura guerrillera.En las operaciones fueron incautados 14 fusiles, cinco armas cortas, un lanzagranadas, una subametralladora, 75 proveedores, 17 granadas, 28 equipos de campaña, cuatro computadores, equipos de comunicación y “material relevante para inteligencia”.",http://www.elespectador.com/noticias/judicial/capturan-12-guerilleros-del-eln-el-sur-del-bolivar-articulo-672877,13,Bolivar,13458,Montecristo ,"Montecristo, Bolívar, vereda La Ahuyama",8,8,,8,,,,,Accidente
85634,Violencia armada,2017-01-03 13:42:00,2017-01-03 13:42:00,0,Combates entre el ejército y el ELN,Combates. 03 de Enero de 2017,Combates,,,Diario del Sur,"Martes 03 de diciembre, Labranzagrande (Boyacá) -IRV 2 Medio-. El comandante del Ejército, general AlbertoJosé Mejía, informó que en las últimas horas murió en combate Deibe Alexander Sánchez, alias Ñangas, cabecilladel Frente ‘José David Suárez’ del Eln, que delinque principalmente en el departamento de Arauca. Alias ‘Ñangas’fue ubicado en la vereda San Antonio, del municipio de Labranzagrande, Boyacá, luego de un trabajo coordinadoentre la Primera Brigada de la Segunda División del Ejército y el Grupo Aéreo de la Fuerza Aérea. Allí este hombreestaba acompañado por algunos guerrilleros, quienes dispararon contra las tropas y en la respuesta murió suprincipal cabecilla. Durante el desarrollo de la operación militar también se incautó un fusil M4, dosproveedores, 45 cartuchos calibre 5.56 milímetros, un lente monocular de visión nocturna, un equipo decomunicaciones, 14 millones 900 mil y otros elementos, algunos con logos del Eln. “Con este importanteresultado nuestras tropas logra afectar el sistema de comando y control de estructuras delictivas como el FrenteJosé David Suárez del Eln y con ello disminuir su capacidad terrorista”, dijo el general Mejía. Fuente: Diario delSur.",Bitácora UARIV,15,Boyacá,15377,Labranzagrande ,"Labranzagrande, Boyacá",1,,,,,,,,
85638,Violencia armada,2017-01-04 13:22:00,2017-01-04 13:22:00,0,"Ejército desactivó en una vía de Saravena, Arauca artefacto explosivo al parecer del ELN",Munición sin explotar - MUSE. 04 de Enero de 2017,Munición sin explotar - MUSE,,,RCN,"Tropas de antiexplosivos del Ejército Nacional desactivaron esta mañana un artefacto tipo Tatuco que fue instalado en la Vereda Puerto Arturo, sobre la vía sector trocha que va a la Válvula OCC Arauca tres.Las primeras informaciones aseguran que los autores del hecho serían guerrilleros de la Comisión Ernesto Che Guevara del ELN que intentaban agredir a la población que circula por ese corredor vial.Se espera que en los próximos minutos sea la misma institución quién se refiera a este hecho.",http://www.rcnradio.com/nacional/ejercito-desactivo-una-via-arauca-artefacto-explosivo-al-parecer-del-eln/,81,Arauca,81736,Saravena ,"Saravena, Arauca, vereda Puerto Arturo, cerca de Válvula OCC Arauca tres",,,,,,,,,Incidente
85642,Violencia armada,2017-01-04 01:29:00,2017-01-04 01:29:00,0,"Ejército destruyó de manera controlada 2 artefactos explosivos dejados por el ELN en Saravena, Arauca","Munición sin explotar - MUSE. Saravena, Arauca, sector Barrio Loco (Los Naranjos). 04 de Enero de 2017",Munición sin explotar - MUSE,,,minuto30.com,"Tropas de la Fuerza de Tarea Quirón, unidad adscrita a la Octava División del Ejército Nacional, frustraron en las últimas horas una acción terrorista en zona rural del municipio de Saravena, Arauca, con la que estructuras del ELN que delinquen en la jurisdicción pretendían afectar la infraestructura vial, informó el ejército.Fue así como soldados de la Décima Octava Brigada, representados en el Grupo de Caballería Mecanizado Nº. 18 “General Gabriel Revéiz Pizarro”, fueron detectados dos artefactos explosivos que contaban con sistema de ignición eléctrico y activación por cable mando, con los que integrantes de la comisión “Ernesto Che Guevara” del frente “Domingo Laín Sáenz” buscaban atentar indiscriminadamente contra el bienestar e integridad de la comunidad que habita y transita en el sector denominado como “Barrio Loco”, sobre el eje vial que une a Saravena con la capital araucana.“Siguiendo los protocolos establecidos de seguridad, el equipo de expertos en desactivación de explosivos EXDE, destruyó controladamente estas armas mortales garantizando el tránsito y tranquilidad en los pobladores y viajeros”, indicaron las tropas.",http://www.minuto30.com/video-ejercito-destruyo-de-manera-controlada-dos-artefactos-explosivos-dejados-por-el-eln-en-saravena-arauca/580195/,81,Arauca,81736,Saravena ,"Saravena, Arauca, sector Barrio Loco"" (Los Naranjos)""",,,,,,,,,Incidente
85643,Violencia armada,2017-01-04 01:37:00,2017-01-04 01:37:00,0,"Ejército destruyó de manera controlada artefacto explosivo dejado por el ELN en puente Caño Verde, Tame",Munición sin explotar - MUSE. 04 de Enero de 2017,Munición sin explotar - MUSE,,,minuto30.com,"Una carga explosiva de alto poder, con la que el ELN pretendía afectar la infraestructura y movilidad, fue neutralizada por los hombres de la Brigada Móvil Nº.34 a la altura del puente de Caño Verde, en jurisdicción del municipio de Tame.",http://www.minuto30.com/video-ejercito-destruyo-de-manera-controlada-dos-artefactos-explosivos-dejados-por-el-eln-en-saravena-arauca/580195/,81,Arauca,81794,Tame ,"Tame, Arauca, puente Caño Verde",,,,,,,,,Incidente
85644,Violencia armada,2017-01-04 01:43:00,2017-01-04 01:43:00,0,"Ejército destruyó de manera controlada artefacto explosivo dejado por el ELN en vereda Bucare, Tame",Munición sin explotar - MUSE. 04 de Enero de 2017,Munición sin explotar - MUSE,,,minuto30.com,"Con el trabajo que realizan en lo correspondiente al Desminado Militar Humanitario, el Batallón de Ingenieros Nº.18 “General Rafael Navas Pardo” durante registro y control de área sobre el sector de la vereda “Bucare” del mismo municipio, hallaron y detonaron controladamente un artefacto explosivo que integrantes de la Comisión “Marta Elena Barón” habían ubicado sobre un camino veredal, acondicionado en un envase plástico con metralla en su interior, el cual contaba con sistema ignición eléctrico y activación por cable mando.",http://www.minuto30.com/video-ejercito-destruyo-de-manera-controlada-dos-artefactos-explosivos-dejados-por-el-eln-en-saravena-arauca/580195/,81,Arauca,81794,Tame ,"Tame, Arauca, vereda Bucare",,,,,,,,,Incidente
85645,Violencia armada,2017-01-04 01:44:00,2017-01-04 01:44:00,0,"Ejército destruyó de manera controlada artefacto explosivo dejado por el ELN en la Y de Tropicales, Arauquita",Munición sin explotar - MUSE. 04 de Enero de 2017,Munición sin explotar - MUSE,,,minuto30.com,"En el municipio de Arauquita, en el sector conocido como “’Y’ de Tropicales”, soldados del Batallón Especial Energético y Vial Nº.16 “Lanceros del Pantano de Vargas” realizaron la desactivación controlada de una granada de 60mm abandonada por integrantes de la comisión “Camilo Cien Fuegos”.",http://www.minuto30.com/video-ejercito-destruyo-de-manera-controlada-dos-artefactos-explosivos-dejados-por-el-eln-en-saravena-arauca/580195/,81,Arauca,81065,Arauquita ,"Arauquita, Arauca, sector Y"" de Tropicales""",,,,,,,,,Incidente
85646,Violencia armada,2017-01-04 01:46:00,2017-01-04 01:46:00,0,"Ejército destruyó de manera controlada artefacto explosivo dejado por el ELN en La Colorada, Arauquita",Munición sin explotar - MUSE. 04 de Enero de 2017,Munición sin explotar - MUSE,,,minuto30.com,"En este mismo municipio, en la vereda conocida como La Colorada, hombres de la Brigada Móvil N.31 impidieron el daño mortal que pudo causar una mina antipersona instalada de forma indiscriminada por esa estructura terrorista.",http://www.minuto30.com/video-ejercito-destruyo-de-manera-controlada-dos-artefactos-explosivos-dejados-por-el-eln-en-saravena-arauca/580195/,81,Arauca,81065,Arauquita ,"Arauquita, Arauca, vereda La Colorada",,,,,,,,,Incidente
85647,Violencia armada,2017-01-04 12:12:00,,,Panfleto amenazante en el corregimiento de Los Haticos municipio de San Juan del Cesar,"Amenazas (individuales/colectivas). San Juan del Cesar, La Guajira. 04 de Enero de 2017",Amenazas (individuales/colectivas),,,Diario del Norte,"Panfleto amenazante en el corregimiento de Los Haticos municipio de San Juan del Cesar, tienen a sus pobladores atemorizados, el comunicado fue arrojado en varios lugares. En menos de un mes había aparecido un primer documento donde se halla lista de 14 personas oriundas y residentes del lugar donde sindican con nombre propio de estar cometiendo varios delitos entre estos el hurto de ganado en distintas fincas de la zona. En este nuevo panfleto aparece una lista de 22 personas a quienes les dan 48 horas de plazo para desalojar debido a que están dejando a la región sin ganado. Presuntamente ambos volantes son de la autoría de las Autodefensas Unidas de Colombia –AUC. Las autoridades no se han pronunciado al respecto, pero para los habitantes del pueblo hay temor e incertidumbre, algunos pobladores se vieron forzados a salir","Diario del Norte Riohacha, jueves 05 de enero de 2017",44,La Guajira,44650,San Juan del Cesar ,"San Juan del Cesar, La Guajira",22,22,,,,,,,
85649,Violencia armada,2017-01-05 13:51:00,,,Desplazamiento de 5 familias afrocolombianas en Buenaventura,"Desplazamiento individual. Buenaventura, Valle del Cauca, barrio La Playita, comuna 4 . 05 de Enero de 2017",Desplazamiento individual,,,Comisión Intereclesial de Justicia y Paz,"Cinco familias afrocolombianas se vieron obligadas a desplazarse desde el pasado lunes 2 de enero a las 9:00 p.m. del sector de Piedras Cantan, Barrio La Playita, Comuna 4 de Buenaventura, por amenazas de muerte y un atentando neoparamilitar.Los armados Paipa y Tito Rojas de las estructuras Autodefensa Gaitanistas a través de sus mandos en el lugar les dieron la orden de irse del barrio o se morían.",http://justiciaypazcolombia.com/,76,Valle del Cauca,76109,Buenaventura ,"Buenaventura, Valle del Cauca, barrio La Playita, comuna 4",,,,,,,,,
